id,question,choice1,choice2,choice3,choice4,solution
11,"Sankt Peterburg dom je Ermitaža - drugog najvećeg muzeja umjetnosti na svijetu. Utemeljen je 1764. godine, od carice:",Elizabete,Ane,Anastazije,Katarine,Katarine
12,"Vidljivi dio spektra elektromagnetskih valova, odnosno dio spektra na koji reagiraju fotoreceptori ljudskog oka kreće se u rasponu od 400 nm do:",750 nm,700 nm,650 nm,600 nm,700 nm
13,Magnolija koja je nekoć stajala na Trgu žrtava fašizma u Zagrebu nalazi se na omotu albuma:,Azra - Filigranski pločnici,Prljavo kazalište - Crno bijeli svijet,Film - Sva čuda svijeta,Haustor - Tajni grad,Azra - Filigranski pločnici
14,"Misao “svi su jednaki, ali neki su jednakiji od drugih” potječe iz kojeg slavnog djela 20. stoljeća?",1984.,Životinjska farma,Vrli novi svijet,Dobri vojak Švejk,Životinjska farma
15,"Za ulogu negativca u filmu Nema zemlje za starce, ovaj je glumac dobio Oscara, time postavši prvi španjolski glumac koji je dobio tu nagradu. Negativca smiješne frizure glumio je:",Benicio del Toro,Javier Bardem,Antonio Banderas,Danny Trejo,Javier Bardem
16,"Kako se zove redatelj animiranog filma Surogat koji je 1962. godine dobio Oscara za najbolji animirani film, što je ujedno i prvi strani animirani film koji je dobio Oscara u toj kategoriji?",Velimir Bata Živojinović,Hajrudin Krvavac,Dušan Vukotić,Alija Sirotanović,Dušan Vukotić
17,Prvu filmsku adaptaciju romana Solaris Stanisława Lema režirao je:,Arkady Strugatsky,Andrei Tarkovsky,Dmitry Glukhovsky,Kirill Serebrennikov,Andrei Tarkovsky
18,Koji od navedenih brandova automobila nije američki:,Land Rover,Ford,Buick,Chevrolet,Land Rover
19,"Koja od sljedećih glazbenih zvijezda nije član “kluba 27”, skupine umjetnika preminulih u 27. godini života:",Kurt Cobain,Amy Winehouse,Brian Jones,Otis Redding,Otis Redding
20,Autor romana Sloboda i Korekcije u slobodno se vrijeme bavi promatranjem ptica. On je:,Jonathan Franzen,Etgar Keret,Dan Simmons,Daniel Kehlmann,Jonathan Franzen
